	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-CV-A463	0.175620195180305	0.361570292433115	0	0	0	0	0	0	0	0	0	0	0.174348418900204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114666749485616
TCGA-BB-4227	0	0.201188370794694	0	0	0.132503477779222	0	0	0	0	0	0	0	0.621397052311835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D6-A6EM	0.174911944415226	0	0	0	0	0	0.158474593956777	0.064306770157615	0	0	0	0	0	0	0	0.314679261328574	0	0	0	0	0	0.0842914801251	0	0	0	0.087144902930402	0	0	0	0
TCGA-IQ-A61I	0.086398734672574	0.654385380018689	0	0	0	0	0	0	0	0	0	0	0.131422012254586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6960	0	0	0	0.138915750757366	0	0	0	0.250894639278993	0	0	0	0	0.0689789388623815	0.119720857664045	0	0.250646165259282	0	0	0	0	0	0	0	0.0969877292517839	0	0	0	0	0	0
TCGA-D6-A6EQ	0	0.183988407357876	0	0	0.232097628270158	0	0	0.119225597069263	0	0	0	0	0.110298386657422	0	0.0615161921230024	0	0	0	0.176199868740213	0	0	0	0	0	0	0	0	0	0	0
TCGA-C9-A480	0.283738369982498	0.224260732564296	0	0	0	0.0819613360307153	0	0	0	0.106617619631012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107930084063011	0	0	0	0.0702960687271368	0	0
TCGA-CV-7440	0.0610859737241824	0.0744576531034859	0.185237314311458	0.244637562938742	0	0	0	0	0	0	0	0	0	0	0	0.0702271709014828	0	0	0	0	0	0.0607483348355915	0	0.065184808763522	0	0.102039797744192	0	0	0	0
TCGA-CV-7421	0.108684877890578	0.111901210406519	0.234239012807055	0	0	0	0	0	0	0	0	0	0.171121501198883	0	0	0	0	0	0.0937157242056572	0	0	0	0	0	0	0	0.0776983341610416	0	0	0
TCGA-BA-5555	0	0	0	0	0	0.0747108117511734	0	0	0	0	0	0	0	0	0	0.67386969987763	0	0	0	0	0	0	0	0.0874206083994912	0	0	0	0	0	0
